IceMultiplier,SalinityAnomaly,N,Hg0_water_median,Hg0_water_mean,HgII_water_median,HgII_water_mean,MLD_median,MLD_mean,AS_median,AS_mean,Net_median,Net_mean,Red_UVA_median,Red_UVA_mean,Ox_UVA_median,Ox_UVA_mean,SeaIce_median,SeaIce_mean,Salinity_median,Salinity_mean,n_shift,d_Hg0,d_HgII,d_Net,d_AS,pct_Hg0,pct_HgII,pct_Net,pct_AS,DomScore
1,0,124,0.140630619478579,0.131828739252045,0.759073115504791,0.772603932035634,14.38490855,12.9698508712676,0.133724268925386,0.171068940339107,0.0751559978934641,0.0905301004720424,0.000903644050638556,0.00161097031234866,0.00662041511135787,0.0138096193191465,0.60659,0.492567016129032,29.8415,29.5296532258064,0,0,0,0,0,0,0,0,0,0
1,-0.25,124,0.132907142845642,0.125459335155608,0.761402027218276,0.765726433533988,13.50148355,12.1878553421936,0.123775093724342,0.15818255782893,0.0713549341416088,0.0837334782054359,0.000930422866147327,0.00161398178263427,0.00662757419899364,0.0146450155700055,0.60659,0.492567016129032,29.5915,29.2796532258064,0,-0.00772347663293615,0.00232891171348459,-0.00380106375185538,-0.0099491752010441,-5.49203058450057,0.306809932523541,-5.05756540847678,-7.44006699830635,-0.00614811144918873
1,-0.5,124,0.124340513876088,0.119005079165928,0.764782710914459,0.763574314956244,12.61805855,11.4120973306345,0.11459772402026,0.145898942237703,0.0670723005406366,0.0739100768721587,0.00095598542659587,0.00160919751537031,0.0065739164231892,0.0157557294450784,0.60659,0.492567016129032,29.3415,29.0296532258064,0,-0.0162901056024906,0.00570959540966776,-0.00808369735282757,-0.019126544905126,-11.5836122054287,0.752179901124652,-10.7558911855398,-14.3029721222839,-0.0110428475522985
1,-0.75,124,0.116611735127439,0.111988942320899,0.766196505399796,0.76589360508749,11.73463355,10.6414679455496,0.102598923911828,0.133628333712888,0.0597684872494108,0.0619541740061174,0.000980376925951418,0.00159679810385436,0.00714828584249357,0.0172194471547231,0.60659,0.492567016129032,29.0915,28.7796532258064,0,-0.0240188843511393,0.00712338989500505,-0.0153875106440533,-0.0311253450135588,-17.0794130326632,0.938432642324307,-20.4740953155403,-23.2757638263296,-0.0157378343695055
1,-1,124,0.108243847347015,0.104843419435344,0.761493043595808,0.771335303680824,10.85120855,9.87511822363533,0.0918945080440075,0.121389216178684,0.0485439068617271,0.0483753079113166,0.00100359990594125,0.00157711575548265,0.00771876916707194,0.0191287084940814,0.60659,0.492567016129032,28.8415,28.5296532258064,0,-0.0323867721315639,0.00241992809101654,-0.0266120910317371,-0.0418297608813789,-23.0296732330736,0.31880039505908,-35.4091380297558,-31.2806053961069,-0.0152176698496418
0.75,0,124,0.130965058004446,0.124419016553608,0.754988234936581,0.76451199148125,14.38490855,12.9698508712676,0.167207831810663,0.210125477454421,0.108818111727796,0.115647935718792,0.00127915829753395,0.00187491759815024,0.0091455718104393,0.0160005230549087,0.4549425,0.369425262096774,29.8415,29.5296532258064,0,-0.0096655614741325,-0.00408488056821055,0.0336621138343317,0.0334835628852762,-6.87301350870092,-0.538140593412278,44.7896572167783,25.0392566393157,0.0001785509490555
0.75,-0.25,124,0.124779895529393,0.118529307236722,0.756341549693433,0.757239300631286,13.50148355,12.1878553421936,0.149331613793148,0.194620134770693,0.105837303966919,0.108687890253701,0.00131706519686225,0.00188488913057091,0.0088860822452717,0.0168767891226043,0.4549425,0.369425262096774,29.5915,29.2796532258064,0,-0.0158507239491852,-0.00273156581135781,0.0306813060734545,0.0156073448677621,-11.2711755149451,-0.359855428359004,40.8234963721008,11.6712882359974,0.0150739612056924
0.75,-0.5,124,0.118173063841212,0.112623816473579,0.755552523508315,0.755661600763036,12.61805855,11.4120973306345,0.139345955980693,0.180063099026598,0.0953273558119461,0.0979411997679133,0.00135325041966194,0.00188647388076838,0.00934213485223861,0.0180889027465412,0.4549425,0.369425262096774,29.3415,29.0296532258064,0,-0.0224575556373663,-0.00352059199647614,0.020171357918482,0.00562168705530716,-15.969179201964,-0.463801434218219,26.8393188619164,4.20393927032338,0.0145496708631748
0.75,-0.75,124,0.11055914569525,0.106230251926645,0.74925667581739,0.759513155934099,11.73463355,10.6414679455496,0.126339171742003,0.16550074329911,0.0843421289333699,0.0845227134894263,0.00138777794050147,0.00187989322441393,0.0100984011964014,0.0197332934500669,0.4549425,0.369425262096774,29.0915,28.7796532258064,0,-0.0300714737833291,-0.00981643968740165,0.00918613103990576,-0.00738509718338329,-21.3833046422082,-1.2932139851737,12.2227517395583,-5.52263044152735,0.00180103385652247
0.75,-1,124,0.103966772306121,0.0997079385485122,0.750643016590972,0.767146733663696,10.85120855,9.87511822363533,0.113841907105615,0.150953397310344,0.0669301009117012,0.0691327556340511,0.00142065135733685,0.00186546969754095,0.0110897169722653,0.0218963627973184,0.4549425,0.369425262096774,28.8415,28.5296532258064,0,-0.0366638471724573,-0.00843009891381929,-0.00822589698176299,-0.0198823618197717,-26.071027282961,-1.1105779853912,-10.9450971477,-14.8681776161853,-0.0116564648380087
0.5,0,124,0.124392023642694,0.119501594762196,0.753669404111881,0.763485369938567,14.38490855,12.8312375282101,0.184956515993156,0.243562596563832,0.133836561675252,0.135149405811229,0.00165762494848817,0.00218640913389491,0.0116910145802635,0.0186074681129246,0.303295,0.246283508064516,29.8415,29.5296532258064,10,-0.0162385958358844,-0.00540371139291052,0.058680563781788,0.0512322470677701,-11.5469845017343,-0.711882858519761,78.0783509321098,38.3118542950166,0.00744831671401783
0.5,-0.25,124,0.119446533011624,0.114066648125606,0.759032281986734,0.755740214055235,13.50148355,12.1002817910154,0.172999576427415,0.226026448111945,0.123423098173546,0.129016727419693,0.00170588340636469,0.00218632843965934,0.0114478346841997,0.0193735690445688,0.303295,0.246283508064516,29.5915,29.2796532258064,10,-0.0211840864669543,-4.08335180573927e-05,0.0482671002800819,0.0392753075020288,-15.0636373113475,-0.00537939194832871,64.2225526011935,29.3703662152329,0.00899179277805304
0.5,-0.5,124,0.113810890030885,0.108632526606531,0.753906730923055,0.754316728428736,12.61805855,11.377711126226,0.16129907725824,0.209695596495777,0.116076417997799,0.118405600533605,0.00175194957210925,0.00217551977922587,0.0120833186585863,0.0204823493961375,0.303295,0.246283508064516,29.3415,29.0296532258064,10,-0.0268197294476939,-0.00516638458173646,0.0409204201043348,0.0275748083328541,-19.0710455142233,-0.680617515784466,54.4473112609598,20.6206461657606,0.0133456117714807
0.5,-0.75,124,0.107853067111919,0.10272756477158,0.748203057113709,0.759013724679669,11.73463355,10.6620501223926,0.150439569633583,0.193259727727875,0.100824682540623,0.104720186019756,0.00179588935927088,0.00215465941668062,0.0130528603962251,0.0220242638922933,0.303295,0.246283508064516,29.0915,28.7796532258064,10,-0.0327775523666593,-0.0108700583910821,0.0256686846471588,0.0167153007081964,-23.3075502960805,-1.43201730756245,34.1538737647326,12.4998258300615,0.00895338393896247
0.5,-1,124,0.101592821423423,0.096646208896657,0.746707972764543,0.767994770478021,10.85120855,9.95216705049043,0.138030175225994,0.176678272106383,0.0791471626177457,0.0889183177240694,0.00183770280873246,0.00212444181744039,0.014231438508376,0.0240459435671692,0.303295,0.246283508064516,28.8415,28.5296532258064,10,-0.039037798055156,-0.012365142740248,0.0039911647242816,0.00430590630060759,-27.759102676144,-1.62897914412699,5.31050725976547,3.21998866414453,-0.000314741576325994
0.25,0,124,0.119276574235191,0.115471751874393,0.764582947635935,0.770602223493042,13.40607365,12.1788272838831,0.220218663772687,0.272579149706752,0.141053045282079,0.145909478997649,0.00204856378348387,0.00261833595165153,0.0152994155278531,0.0221915383705741,0.1516475,0.123141754032258,29.8415,29.5296532258064,38,-0.0213540452433873,0.00550983213114342,0.0658970473886153,0.0864943948473009,-15.1844920562552,0.725863163718995,87.6803571712617,64.6811499082204,-0.0205973474586856
0.25,-0.25,124,0.113075477148868,0.110560733309441,0.767855983893559,0.762324475047027,12.52264865,11.5440120683848,0.206607770122979,0.253733856405114,0.137322047171951,0.141489733183412,0.0021172929314627,0.0025982134472248,0.0153407203265495,0.0227950277280633,0.1516475,0.123141754032258,29.5915,29.2796532258064,38,-0.0275551423297108,0.00878286838876774,0.0621660492784864,0.0728835011975929,-19.5939848888372,1.1570517002077,82.7160187089907,54.5028226987425,-0.0107174519191065
0.25,-0.5,124,0.108117649706706,0.105641477930215,0.764156657036776,0.760596885934927,11.63922365,10.9361012343358,0.190744687182013,0.236311701009996,0.122294401184061,0.131965540637116,0.0021738180033759,0.00256036452263087,0.0157531149383865,0.0237172194912562,0.1516475,0.123141754032258,29.3415,29.0296532258064,38,-0.0325129697718726,0.00508354153198454,0.0471384032905966,0.057020418256627,-23.1194101913383,0.669703804304007,62.7207469953585,42.6402916350528,-0.00988201496603042
0.25,-0.75,124,0.10323936807297,0.100238932425925,0.751272527919186,0.765373981056593,10.75579865,10.3480432507547,0.171498477753699,0.218661010639966,0.107498817659272,0.118989538654438,0.00224157442814297,0.00250655376793756,0.0162390897798078,0.0250231619871954,0.1516475,0.123141754032258,29.0915,28.7796532258064,38,-0.0373912514056083,-0.00780058758560509,0.0323428197658077,0.0377742088283126,-26.5882718459502,-1.02764640536869,43.034249657166,28.2478334948979,-0.0054313890625049
0.25,-1,124,0.098270794838831,0.0945958756911834,0.751742296842916,0.774675234076418,9.87237365,9.77540235420281,0.157991403103234,0.200687449417,0.089232746705241,0.103739310178494,0.00230405272743243,0.00243853687184356,0.017831612582652,0.0267026361657109,0.1516475,0.123141754032258,28.8415,28.5296532258064,38,-0.0423598246397476,-0.00733081866187502,0.0140767488117769,0.0242671341778477,-30.1213382951783,-0.96575922821347,18.730040457624,18.1471429029745,-0.0101903853660709
0,0,124,0.1074322651001,0.106602969800234,0.771471778482063,0.778258421146439,9.00550634107341,10.2452065491592,0.228631834065168,0.293883299384099,0.127059113109966,0.144692769214097,0.00345206852031385,0.00329297493228149,0.0250400367866603,0.0274689283259432,0,0,29.8415,29.5296532258064,102,-0.0331983543784783,0.0123986629772719,0.0519031152165023,0.0949075651397815,-23.6067753250103,1.63339508724751,69.0605097015364,70.9725810449087,-0.0430044499232792
0,-0.25,124,0.105922234861509,0.101627478328333,0.774263556368401,0.773346793937584,8.607802602193,9.32764384291825,0.21698631399218,0.271425079167175,0.119097430902103,0.132924849211987,0.00347170982498222,0.00331990700647585,0.0257149020667666,0.0282953986692099,0,0,29.5915,29.2796532258064,102,-0.0347083846170692,0.0151904408636101,0.0439414330086385,0.0832620450667935,-24.6805316976905,2.0011828311833,58.4669676942175,62.2639747712892,-0.039320612058155
0,-0.5,124,0.102707177676553,0.0972789076339793,0.781838774485942,0.772741050302545,8.20480175108291,8.68764084381307,0.202267346220707,0.253104072694673,0.107145955035631,0.122653571297387,0.00347249908540269,0.00330236292063993,0.0265998169158565,0.029311809543418,0,0,29.3415,29.0296532258064,102,-0.0379234418020252,0.0227656589811511,0.031989957142167,0.0685430772953208,-26.9667032276721,2.99913914959453,42.5647427202201,51.2570215160911,-0.0365531201531538
0,-0.75,124,0.0987888621804934,0.0927319900795902,0.778313639287209,0.77748352867406,7.88513570602009,8.1940128450541,0.187145585196422,0.235299479099702,0.0965147006417151,0.110846710367799,0.00340506105163778,0.00324747244245589,0.0280113732678819,0.0307074383462769,0,0,29.0915,28.7796532258064,102,-0.0418417572980852,0.0192405237824183,0.021358702748251,0.0534213162710361,-29.7529495733031,2.53473919566011,28.4191592779163,39.9488564793302,-0.0320626135227851
0,-1,124,0.0936864134612582,0.0880673955944024,0.777374717564209,0.786217635196338,7.5529028768314,7.79261290363852,0.174042342099494,0.217349333170118,0.0808997894495445,0.0974560329649777,0.00325701480703409,0.00316016809500295,0.029338766450614,0.032421654544491,0,0,28.8415,28.5296532258064,102,-0.0469442060173205,0.0183016020594181,0.00574379155608032,0.0403180731741079,-33.3812125633644,2.41104600934883,7.6424925715474,30.1501541179515,-0.0345742816180276
